89.655 99.23652 96.75 101.91 102.555 104.49 110.295 114.79673 118.11974 122.31376 126.55247 134.52003 142.55113 149.61413 152.79051 156.72777 160.67816 163.93774 168.86422 173.28706 177.13706 181.45612 188.49941 195.39057 199.08381 204.93548 208.6361 210.58397 213.56605 217.18245 219.84222 222.53428 230.26499 234.77999 243.16499 248.32499 250.15673 16.125 22.77442 26.445 32.25 41.925 52.245 66.435 81.11414 90.62171 98.07574 104.60669 112.73098 118.65081 125.16346 129.89078 134.43477 138.42716 142.47823 147.53094 151.18594 152.71449 155.62576 160.08545 163.25524 166.12887 169.8849 173.42508 174.99815 176.38153 180.1754 181.35993 183.32467 191.56499 190.27499 197.36999 197.36999 200.53063
263.15999 262.73185 263.93609 264.42873 264.93801 262.88824 263.21908 265.04578 263.19456 264.8529 267.65865 265.81164 264.46294 265.69724 267.09174 267.99306 268.70129 267.45875                   -1 23.865 23.35231 22.29707 21.42853 20.90107 18.99568 19.58798 18.94772 18.02216 17.4475 15.81965 13.25833 10.74946 9.18569 6.67643 5.76259 4.28735 2.06549                   -1
504.38999 511.45955 517.43608 524.40691 536.77675 543.73498 551.47498 562.60926 573.74355 581.13628 584.72087 590.1114 593.39998 601.13998 615.97498 618.55498 632.09998 649.5186 655.31998 655.46741                 -1 187.69499 186.3414 185.30386 184.88536 184.34843 198.01499 201.88499 205.57556 209.26612 215.35543 219.45652 220.4928 222.12342 221.23499 218.65499 223.81499 225.74999 226.86063 227.68499 227.23219                 -1
459.23999 466.68496 472.13999 474.07499 474.6942 475.26251 474.5881 468.09106 456.01499 448.27499 447.62999 448.44915 442.46999 437.95499 432.80849 429.64947 411.50999 407.63999 403.97722 410.21999 415.02135                -1 185.76 190.36249 197.36999 197.36999 198.24719 196.41153 192.7664 187.67004 184.47 170.28 167.7 168.67419 167.7 168.98999 173.11588 177.4816 158.02499 154.155 150.03524 154.155 157.32401                -1
476.65499 471.73789 471.58289 469.08313 464.39999 452.78999 450.20999 445.5572 445.04999 438.59999 433.43999 431.24217 432.74763 435.05615 429.56999 430.85999 426.98999 422.84182 421.36565 419.25707                 -1 207.04499 204.72218 202.91023 201.1203 205.75499 201.23999 198.01499 194.33831 197.36999 199.94999 195.43499 192.95355 187.70045 176.76214 181.24499 178.665 173.505 167.24101 166.26367 166.72541                 -1
572.75998 574.80305 575.76141 576.23513 577.10645 576.09746 573.17779 565.2641 567.59998 557.92498 552.32891 548.85054 540.8528 531.33326 522.26019 515.96892 510.90262 502.77666 500.47148 499.87498 496.64999 490.19656 485.09581 479.64484 474.19388 464.24507 468.91499 457.94999 447.88139 441.812 437.55981 429.44421 437.30999 434.72999 431.57679  -1 215.42999 215.83599 215.92219 216.47812 219.03259 219.79443 221.01894 218.93143 216.71999 215.42999 216.44292 218.64734 219.90437 220.92273 218.64622 211.39272 209.24746 208.57959 209.07863 192.85499 190.91999 191.90635 189.37068 190.56389 191.75711 193.06209 196.72499 200.59499 203.53718 202.29767 201.94101 200.89801 205.10999 212.20499 215.28504  -1
412.79999 413.57396 410.86499 405.75873 413.44499 417.95999 421.78967 421.99643 422.79749 421.48599 422.28685 422.29287 423.77432 413.44499 409.57499 406.59139 404.19075 401.79011 401.8716 412.79999 412.15499 417.95999 431.50499 434.08499 436.66499 443.30352 445.99001 445.04999 446.98499 449.56499 453.04658 458.68648 465.08278 473.54077 482.59344 485.03999 478.58999 306.37499 302.69848 307.01999 311.10498 307.01999 305.72999 303.1903 304.14871 305.214 303.88099 305.40751 301.96623 299.90627 310.24499 312.17999 317.47333 318.16929 318.86525 321.29583 323.78999 317.33999 303.79499 292.18499 283.79999 275.41499 266.00543 252.71 245.09999 246.38999 239.93999 235.15662 231.38538 230.65011 227.84992 222.31148 218.00999 209.62499
267.67499 262.51499 261.86999 261.86999 263.80499 267.02999 267.02999 276.70499 278.63999 270.89999 264.44999 265.09499 263.15999 256.06499 259.93499 263.15999 272.18999 283.15499 295.40999 308.30999 310.24499 312.82499 319.27499 330.88499 336.68999 339.26999 343.13999 341.84999 345.71999 346.36499 348.29999 346.36499 341.84999 328.30499 308.30999 291.53999 278.63999 394.73999 383.12999 371.51999 359.90999 350.23499 343.78499 339.26999 330.88499 328.30499 314.75999 302.50499 295.40999 285.73499 275.41499 270.89999 270.25499 263.80499 262.51499 261.22499 261.22499 259.28999 258.64499 258.64499 259.93499 264.44999 267.67499 269.60999 271.54499 272.18999 269.60999 269.60999 270.25499 266.38499 260.57999 258.64499 257.35499 258.64499
243.16499 253.20855 266.42782 279.89846 299.92499 316.69499 317.98499 320.05656 320.15429 318.0925 325.07999 341.20499 354.64389 364.38972 371.75525 373.95952 377.59206 387.64499 398.60999 409.20788 387.64499 381.83999 372.4019 367.00499 365.21994 363.1529 358.37485 352.14991 345.44552 339.72929 334.03236 333.14615 332.90904 329.59499 317.98499 306.92507 299.85629 404.41499 399.81936 398.52436 397.00465 397.96499 391.51499 388.93499 387.57814 386.31286 381.60197 359.90999 348.29999 340.345 335.94673 335.86524 332.54949 327.07548 323.78999 325.07999 325.4216 335.39999 341.84999 348.35629 348.94499 346.75323 341.21495 339.50706 341.23314 346.35125 353.43066 362.27099 371.37153 376.8086 381.19499 383.12999 381.6674 384.8478
23.22 23.01765 19.91706 18.84867 16.91941 15.50846 14.53004 12.68956 11.32841 11.45109 14.11343 16.91902 19.7246 22.87286 26.02113 27.99733 30.69772 32.82991 30.96 36.765 36.765 36.765 38.829 40.893 43.43672 44.35907 45.67366 46.63161 45.54433 48.37827 49.18273 49.04554 51.75305 55.11707 60.36235 63.82024 66.67441 334.10999 334.79609 334.21211 334.48599 338.37355 342.2863 343.24254 344.56392 346.62489 350.55048 355.41585 365.34355 375.27126 385.916 396.56074 406.73744 416.1588 425.60826 424.40999 435.37499 439.24499 443.11499 448.533 453.95102 464.95287 469.77304 477.68315 486.62414 494.15864 502.45172 509.47897 517.81684 524.19917 528.15767 534.5909 535.15685 537.80889
